comune,Distanza_Solo_Andata,Distanza_AR
BASILIANO,0.0,0.0
AIELLO DEL FRIULI,32.4,64.8
AMARO,51.6,103.2
AMPEZZO,65.4,130.8
ANDREIS,55.7,111.4
AQUILEIA,43.2,86.4
ARBA,36.3,72.6
ARTEGNA,31.8,63.6
ARTENI,31.8,63.6
ATTIMIS,31.5,63.0
AVIANO,51.5,103.0
AZZANO DECIMO,42.7,85.4
BARCIS,59.3,118.6
BERTIOLO,10.6,21.2
BICINICCO,18.1,36.2
BORDANO,43.1,86.2
BRUGNERA,58.8,117.6
BUDOIA,56.1,112.2
BUJA,28.3,56.6
BUTTRIO,22.6,45.2
CAMPOFORMIDO,5.6,11.2
CAMPOLONGO TAPOGLIANO,34.7,69.4
CANEVA,64.9,129.8
CAPRIVA DEL FRIULI,41.5,83.0
CARLINO,31.9,63.8
CASARSA DELLA DELIZIA,27.0,54.0
CASSACCO,23.0,46.0
CASTELNOVO DEL FRIULI,33.5,67.0
CASTIONS DI STRADA,18.0,36.0
CAVAZZO CARNICO,50.6,101.2
CERCIVENTO,74.1,148.2
CERVIGNANO DEL FRIULI,35.5,71.0
CHIONS,44.7,89.4
CHIOPRIS-VISCONE,33.0,66.0
CHIUSAFORTE,59.7,119.4
CIMOLAIS,76.1,152.2
CIVIDALE DEL FRIULI,34.3,68.6
CLAUT,68.6,137.2
CLAUZETTO,37.5,75.0
CODROIPO,14.5,29.0
COLLOREDO DI MONTE ALBANO,22.1,44.2
COMEGLIANS,74.9,149.8
CORDENONS,39.5,79.0
CORDOVADO,31.5,63.0
CORMONS,38.7,77.4
DIGNANO,19.3,38.6
DOGNA,65.3,130.6
DRENACHIA,57.0,114.0
DUINO-AURISINA,60.3,120.6
ENEMONZO,60.9,121.8
ERTO E CASSO,81.3,162.6
FAGAGNA,14.3,28.6
FANNA,42.6,85.2
FARRA D'ISONZO,43.8,87.6
FIUME VENETO,38.7,77.4
FIUMICELLO VILLA VICENTINA,43.6,87.2
FLAIBANO,12.9,25.8
FOGLIANO REDIPUGLIA,43.3,86.6
