comune,Distanza_Solo_Andata,Distanza_AR
VENEZIA,112.9,225.8
MESTRE,113.2,226.4
CHIOGGIA,140.6,281.2
SAN DONA DI PIAVE,76.2,152.4
MIRANO,123.1,246.2
SPINEA,119.5,239.0
MIRA,126.5,253.0
DOLO,131.9,263.8
MARCON,102.5,205.0
NOALE,121.8,243.6
MARTELLAGO,115.0,230.0
PORTOGRUARO,42.7,85.4
CONCORDIA SAGITTARIA,44.4,88.8
CAORLE,62.5,125.0
JESOLO,81.9,163.8
ERACLEA,74.0,148.0
CEGGIA,66.1,132.2
TREVISO,98.4,196.8
CONEGLIANO,81.9,163.8
CASTELFRANCO VENETO,126.3,252.6
MONTEBELLUNA,110.1,220.2
VITTORIO VENETO,79.8,159.6
MOGLIANO VENETO,107.1,214.2
ODERZO,68.7,137.4
PAESE,105.5,211.0
PONZANO VENETO,98.8,197.6
RONCADE,91.7,183.4
CASALE SUL SILE,98.3,196.6
SPRESRESIANO,90.8,181.6
ZERO BRANCO,110.5,221.0
PADOVA,149.4,298.8
ALBIGNASEGO,155.5,311.0
SELVAZZANO DENTRO,158.6,317.2
VIGONZA,138.2,276.4
ESTE,183.5,367.0
MONSELICE,173.9,347.8
PIOVE DI SACCO,147.3,294.6
CAMPODARSEGO,139.2,278.4
ABANO TERME,161.1,322.2
CADONEGHE,141.4,282.8
RUBANO,155.5,311.0
BELLUNO,89.5,179.0
FELTRE,119.0,238.0
SEDICO,100.1,200.2
PONTE NELLE ALPI,84.7,169.4
SANTA GIUSTINA,105.5,211.0
MEL,102.3,204.6
CORTINA D'AMPEZZO,121.0,242.0
PIEVE DI CADORE,92.6,185.2
AGORDO,112.5,225.0
LONGARONE,87.3,174.6
AURONZO DI CADORE,101.2,202.4
